Reporting Area,MMWR Year,MMWR Week,"Dengue virus infections, Dengue, Current week","Dengue virus infections, Dengue, Current week, flag","Dengue virus infections, Dengue, Previous 52 weeks Max†","Dengue virus infections, Dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue, Cum 2022†","Dengue virus infections, Dengue, Cum 2022†, flag","Dengue virus infections, Dengue, Cum 2021†","Dengue virus infections, Dengue, Cum 2021†, flag","Dengue virus infections, Dengue-like illness, Current week","Dengue virus infections, Dengue-like illness, Current week, flag","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue-like illness, Cum 2022†","Dengue virus infections, Dengue-like illness, Cum 2022†, flag","Dengue virus infections, Dengue-like illness, Cum 2021†","Dengue virus infections, Dengue-like illness, Cum 2021†, flag","Dengue virus infections, Severe dengue, Current week","Dengue virus infections, Severe dengue, Current week, flag","Dengue virus infections, Severe dengue, Previous 52 weeks Max†","Dengue virus infections, Severe dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Severe dengue,  Cum 2022†","Dengue virus infections, Severe dengue,  Cum 2022†, flag","Dengue virus infections, Severe dengue,  Cum 2021†","Dengue virus infections, Severe dengue, Cum 2021†, flag",Location 1,Location 2,Reporting Area Sort,geocode
NON-US RESIDENTS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,202200269,
NEVADA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,202200253,POINT (-114.916992 39.283294)
MISSOURI,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,202200224,POINT (-92.477244 38.3675)
NEW JERSEY,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,202200210,POINT (-74.655514 40.110253)
RHODE ISLAND,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200207,POINT (-71.534637 41.572574)
WISCONSIN,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,202200219,POINT (-89.732969 44.639954)
UTAH,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,202200255,POINT (-111.678222 39.323779)
TOTAL,2022,2,2,,20,,2,,29,,,-,6,,1,,4,,,-,4,,,-,4,,,TOTAL,202200270,
NEW ENGLAND,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,202200202,
OKLAHOMA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,202200246,POINT (-97.508297 35.583449)
MARYLAND,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,202200233,POINT (-76.687282 38.946466)
VERMONT,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,202200208,POINT (-72.662695 44.075252)
WYOMING,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200256,POINT (-107.55145 42.999627)
MONTANA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,202200252,POINT (-109.645127 47.033521)
GUAM,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,202200266,POINT (144.653198 13.3532)
NEW YORK,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,202200211,POINT (-75.59655 42.921241)
TENNESSEE,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,202200242,POINT (-86.343226 35.842998)
ALASKA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,202200258,POINT (-151.631889 63.631126)
NEW YORK CITY,2022,2,,-,4,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK CITY,,202200212,
TEXAS,2022,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,TEXAS,,202200247,POINT (-99.317341 31.447238)
NORTHERN MARIANA ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200265,POINT (145.725693 15.1834)
ALABAMA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,202200239,POINT (-86.844516 32.756889)
EAST NORTH CENTRAL,2022,2,,-,3,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,202200214,
IOWA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,202200221,POINT (-93.500061 42.074659)
MINNESOTA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,202200223,POINT (-94.198308 46.349153)
MOUNTAIN,2022,2,,-,3,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,202200248,
CALIFORNIA,2022,2,,-,4,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,202200259,POINT (-119.662127 37.211164)
KANSAS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200222,POINT (-98.38018 38.484729)
CONNECTICUT,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,202200203,POINT (-72.738288 41.575155)
LOUISIANA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,202200245,POINT (-91.840238 30.921314)
PENNSYLVANIA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,202200213,POINT (-77.838886 40.896694)
PUERTO RICO,2022,2,,-,18,,,-,25,,,-,6,,,-,4,,,-,4,,,-,4,,PUERTO RICO,,202200267,POINT (-66.414655 18.215692)
EAST SOUTH CENTRAL,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,202200238,
SOUTH ATLANTIC,2022,2,2,,3,,2,,,-,,-,1,,1,,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,202200228,
DISTRICT OF COLUMBIA,2022,2,,-,0,,,-,,-,,-,1,,1,,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,202200230,POINT (-77.016275 38.904785)
NEW HAMPSHIRE,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200206,POINT (-71.57139 43.680429)
FLORIDA,2022,2,2,,3,,2,,,-,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,202200231,POINT (-82.420978 28.260731)
WASHINGTON,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,202200262,POINT (-120.592492 47.411715)
INDIANA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,202200216,POINT (-86.2818 39.919991)
US TERRITORIES,2022,2,,-,18,,,-,25,,,-,6,,,-,4,,,-,4,,,-,4,,,US TERRITORIES,202200263,
IDAHO,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,202200251,POINT (-114.659366 44.389073)
US RESIDENTS,2022,2,2,,8,,2,,4,,,-,1,,1,,,-,,-,1,,,-,,-,,US RESIDENTS,202200201,
OREGON,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,202200261,POINT (-120.605279 43.940449)
GEORGIA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,202200232,POINT (-83.426574 32.638481)
NEW MEXICO,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,202200254,POINT (-106.108388 34.421369)
MISSISSIPPI,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,202200241,POINT (-89.65344 32.713378)
ARIZONA,2022,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,202200249,POINT (-111.664616 34.293239)
MASSACHUSETTS,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,202200205,POINT (-71.481104 42.151077)
WEST VIRGINIA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,202200237,POINT (-80.613729 38.642579)
PACIFIC,2022,2,,-,4,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,202200257,
NORTH DAKOTA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,202200226,POINT (-100.46931 47.446305)
COLORADO,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,202200250,POINT (-105.547832 38.998552)
KENTUCKY,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,202200240,POINT (-85.290484 37.526683)
VIRGINIA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,202200236,POINT (-78.666382 37.510861)
WEST NORTH CENTRAL,2022,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,202200220,
AMERICAN SAMOA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,AMERICAN SAMOA,,202200264,
WEST SOUTH CENTRAL,2022,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,WEST SOUTH CENTRAL,202200243,
U.S. VIRGIN ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200268,
SOUTH CAROLINA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,202200235,POINT (-80.864614 33.878572)
DELAWARE,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200229,POINT (-75.452394 38.994926)
NORTH CAROLINA,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,202200234,POINT (-79.130883 35.52603)
MAINE,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,202200204,POINT (-69.06137 45.117911)
MICHIGAN,2022,2,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,202200217,POINT (-85.730977 44.874798)
MIDDLE ATLANTIC,2022,2,,-,4,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,202200209,
ARKANSAS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,202200244,POINT (-92.439162 34.899825)
ILLINOIS,2022,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,202200215,POINT (-89.148632 40.124144)
NEBRASKA,2022,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,202200225,POINT (-99.810595 41.527099)
HAWAII,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,202200260,POINT (-157.854309 21.361013)
SOUTH DAKOTA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200227,POINT (-100.230491 44.43614)
OHIO,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,202200218,POINT (-82.70936 40.415534)
US TERRITORIES,2022,1,,-,19,,,-,5,,,-,6,,,-,1,,,-,5,,,-,1,,,US TERRITORIES,202200163,
TOTAL,2022,1,,-,21,,,-,8,,,-,6,,,-,1,,,-,5,,,-,1,,,TOTAL,202200170,
WEST SOUTH CENTRAL,2022,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,WEST SOUTH CENTRAL,202200143,
ILLINOIS,2022,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,202200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200127,POINT (-100.230491 44.43614)
KENTUCKY,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,202200140,POINT (-85.290484 37.526683)
NEW JERSEY,2022,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,202200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2022,1,,-,3,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,202200128,
NEW MEXICO,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,202200154,POINT (-106.108388 34.421369)
GEORGIA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,202200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2022,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,202200130,POINT (-77.016275 38.904785)
ALABAMA,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,202200139,POINT (-86.844516 32.756889)
ARIZONA,2022,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,202200149,POINT (-111.664616 34.293239)
WYOMING,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200156,POINT (-107.55145 42.999627)
MARYLAND,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,202200133,POINT (-76.687282 38.946466)
WEST VIRGINIA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,202200137,POINT (-80.613729 38.642579)
US RESIDENTS,2022,1,,-,8,,,-,3,,,-,1,,,-,,-,,-,1,,,-,,-,,US RESIDENTS,202200101,
NEBRASKA,2022,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,202200125,POINT (-99.810595 41.527099)
CALIFORNIA,2022,1,,-,4,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,202200159,POINT (-119.662127 37.211164)
CONNECTICUT,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,202200103,POINT (-72.738288 41.575155)
PENNSYLVANIA,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,202200113,POINT (-77.838886 40.896694)
KANSAS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200122,POINT (-98.38018 38.484729)
OHIO,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OHIO,,202200118,POINT (-82.70936 40.415534)
MASSACHUSETTS,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,202200105,POINT (-71.481104 42.151077)
NEVADA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,202200153,POINT (-114.916992 39.283294)
NEW YORK CITY,2022,1,,-,4,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK CITY,,202200112,
ALASKA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,202200158,POINT (-151.631889 63.631126)
VERMONT,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,202200108,POINT (-72.662695 44.075252)
NEW HAMPSHIRE,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200106,POINT (-71.57139 43.680429)
NORTHERN MARIANA ISLANDS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200165,POINT (145.725693 15.1834)
MINNESOTA,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,202200123,POINT (-94.198308 46.349153)
VIRGINIA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,202200136,POINT (-78.666382 37.510861)
WEST NORTH CENTRAL,2022,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,202200120,
RHODE ISLAND,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200107,POINT (-71.534637 41.572574)
NORTH CAROLINA,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,202200134,POINT (-79.130883 35.52603)
MAINE,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,202200104,POINT (-69.06137 45.117911)
MIDDLE ATLANTIC,2022,1,,-,4,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,202200109,
TENNESSEE,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,202200142,POINT (-86.343226 35.842998)
TEXAS,2022,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,TEXAS,,202200147,POINT (-99.317341 31.447238)
ARKANSAS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,202200144,POINT (-92.439162 34.899825)
IDAHO,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,202200151,POINT (-114.659366 44.389073)
EAST SOUTH CENTRAL,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,202200138,
